,address,lat,lng,name
0,"1601 W 4th St, Coffeyville, KS 67337, USA",37.0404156,-95.64147450000002,April
1,"US-75, Neodesha, KS 66757, USA",37.398988,-95.71076,Lilacs
2,"800 W Boise Cir #280, Broken Arrow, OK 74012, USA",36.07761929999999,-95.7997857,Dull
3,"Winter, Baldwin, MI 49304, USA",43.8613947,-85.9805549,Winter
4,"Summer, Stradbrook Rd, Mountashton, Blackrock, Co. Dublin, Ireland",53.2898811,-6.1655545,Summer
5,"Lake Starnberg, Germany",47.9102006,11.3121698,Starnbergersee
6,"Hofgarten, Hofgartenstraße 1, 80538 München, Germany",48.1427778,11.58,Hofgarten
7,"314 E Main St, Chanute, KS 66720, USA",37.68192519999999,-95.4484092,Bin
8,"1281 Russin, Switzerland",46.1880652,6.013571900000001,Russin
9,Lithuania,55.169438,23.881275,Litauen
10,"Independence, KS 67301, USA",37.2242358,-95.7083131,My
11,"Marie, Trenton, MI 48183, USA",42.1458862,-83.1860415,Marie
12,"Marie, Trenton, MI 48183, USA",42.1458862,-83.1860415,Marie
13,"5835 S Garnett Rd, Tulsa, OK 74146, USA",36.0779425,-95.8496673,Son
14,"2513 N Fitzhugh Ave, Dallas, TX 75204, USA",32.8123356,-96.7838107,Come
15,"5301 Grove Rd, Pittsburgh, PA 15236, USA",40.358464,-80.00279019999999,Frisch
16,"Wind, 350 S Miami Ave, Miami, FL 33130, USA",25.7704554,-80.19426279999999,Wind
17,"1402 N Harvard Ave, Tulsa, OK 74115, USA",36.1748777,-95.9408225,Der
18,"200 W 3rd St, Freistatt, MO 65654, USA",37.021017,-93.899948,Heimat
19,"3350 S 1500 W, Ogden, UT 84401, USA",41.2038489,-112.0162224,zu
20,"9630 Clarewood Dr A13, Houston, TX 77036, USA",29.7075275,-95.5500467,Mein
21,"Mauerstraße 38, 33602 Bielefeld, Germany",52.0218696,8.5284268,Irisch
22,"1303 San Jacinto St, Houston, TX 77002, USA",29.7533374,-95.3649784,Kind
23,"10600 S Pennsylvania Ave #17, Oklahoma City, OK 73170, USA",35.3621246,-97.5456554,Wo
24,"2555 N Hyacinth Ln, Wichita, KS 67204, USA",37.7297891,-97.3788858,Hyacinth
25,"2116 Berkshire Dr, Ponca City, OK 74604, USA",36.7368217,-97.05403940000001,Speak
26,"2030 Powers Ferry Rd # 230, Atlanta, GA 30339, USA",33.8988926,-84.4538513,Oed
27,"Steinhuder Meer, 31515 Wunstorf, Germany",52.4734095,9.337716,Meer
28,"1802 Rockhill Rd, Manhattan, KS 66502, USA",39.175524,-96.585235,Madame
29,Europe,54.5259614,15.2551187,Europe
30,"6000 E Camelback Rd, Scottsdale, AZ 85251, USA",33.5077238,-111.9497358,Phoenician
31,"Sailor, Nine Mile Falls, WA 99026, USA",47.90494529999999,-117.6563336,Sailor
32,"12 Echols St, Eureka Springs, AR 72632, USA",36.4023697,-93.73258349999999,Belladonna
33,"Iola, KS 66749, USA",37.9220943,-95.39463479999999,Lady
34,"136 S Wilson St, Vinita, OK 74301, USA",36.6376053,-95.1549781,Rocks
35,"11664 E 51st St, Tulsa, OK 74146, USA",36.0899329,-95.84682529999999,Wheel
36,"1335 S Main St, Bentonville, AR 72712, USA",36.3575824,-94.2091738,Which
37,"1335 S Main St, Bentonville, AR 72712, USA",36.3575824,-94.2091738,Which
38,"Gause, TX 77857, USA",30.75741499999999,-96.8388686,Hanged
39,"603 W Rogers Blvd, Skiatook, OK 74070, USA",36.3682444,-96.0093746,Man
40,"Parsons, KS 67357, USA",37.3435649,-95.2829174,Fear
41,"750 Communications Pkwy Suite G, Columbus, OH 43214, USA",40.0603843,-83.0389486,Thank
42,"Rua do Arieiro, 3105-218 Meirinhas, Portugal",39.8462987,-8.7056773,Equitone
43,"Tell, TX 79201, USA",34.3758976,-100.3948405,Tell
44,"1407 N 8th St, Neodesha, KS 66757, USA",37.432104,-95.68372339999999,City
45,"London, UK",51.5073509,-0.1277583,London
46,"Andes Bridge, 18216 192nd Rd, Winfield, KS 67156, USA",37.2010393,-96.84223,Bridge
47,"Sighs Dr, Wolcott, VT 05680, USA",44.6398905,-72.48835749999999,Sighs
48,"117 W 5th St #500, Bartlesville, OK 74003, USA",36.748397,-95.978848,King
49,"4150 SE Adams Rd, Bartlesville, OK 74006, USA",36.7444554,-95.92900949999999,William
50,"812 W Maple St, Independence, KS 67301, USA",37.22244999999999,-95.7168962,Street
51,"735 N Foreman St, Vinita, OK 74301, USA",36.653577,-95.1563,Saint
52,"Mary, Turkmenistan",37.6092461,61.86432519999999,Mary
53,"1 King William St, London EC3V 9AN, UK",51.51277779999999,-0.08798,Woolnoth
54,"Stetson, ME 04488, USA",44.8919352,-69.14318639999999,Stetson
55,"98057 Milazzo, Province of Messina, Italy",38.2207102,15.2419327,Mylae
56,"565 Howard St, Evanston, IL 60202, USA",42.019686,-87.67775499999999,Has
